Industry,Gender,Education,Avg_Salary
"Grocery Distribution",Non-binary,"College degree",52532.00
"Beverage ",Man,"College degree",52600.00
"Grocery Distribution",Woman,"High School",52600.00
"Religious institute",Man,"College degree",53000.00
Architecture,Non-binary,"College degree",53000.00
"High End Outdoor Furniture Manufacturer ",Woman,"College degree",53000.00
"Library ","Prefer not to answer","Master's degree",53000.00
Landscaping,Woman,"College degree",53120.00
"Hospitality & Events",Man,"High School",53166.67
Publishing,Woman,"Master's degree",53170.39
"Behavioral Health",Man,"Professional degree (MD, JD, etc)",53560.00
Food,Woman,"College degree",53808.75
Entertainment,Non-binary,"College degree",53857.14
"University research",Non-binary,"Master's degree",54000.00
"Ecology ",Woman,"Master's degree",54000.00
Literature,Woman,PhD,54000.00
Religion,Woman,"Master's degree",54000.00
"Religious institute",Woman,"Master's degree",54080.00
"Social Work",Non-binary,"Master's degree",54157.14
"Print Publishing",Man,"College degree",54250.00
"Business or Consulting",Man,"High School",54253.33
Compliance,Woman,"College degree",54313.00
"Health care",Woman,"High School",54330.34
Wholesale,Woman,"College degree",54500.00
"Agriculture or Forestry",Non-binary,"College degree",54951.83
"Virtual reality",Woman,"College degree",55000.00
"Industrial Cleaning & Non Hazardous Transport",Woman,"College degree",55000.00
"Data Analytics",Man,"College degree",55000.00
"Auction house",Woman,"College degree",55000.00
Church,Woman,"Master's degree",55000.00
"Marketing ",Woman,"College degree",55000.00
Military,Man,"College degree",55000.00
"Children's Book Wholesale",Woman,"Master's degree",55000.00
"International Development",Man,"College degree",55000.00
Museum,Woman,"Master's degree",55115.29
"Education (Higher Education)",Other,"College degree",55352.13
Retail,Other,"College degree",55490.91
"Property or Construction",Man,"High School",55575.00
Library,Non-binary,"Master's degree",55624.90
Library,Man,"Master's degree",55693.20
"Education (Higher Education)",Non-binary,"College degree",55731.42
"Business or Consulting",Non-binary,"College degree",55788.00
"Engineering or Manufacturing",Woman,"High School",55888.42
"Mental health",Woman,"Master's degree",55896.67
"Education (Higher Education)",Non-binary,"Master's degree",55901.29
"Environmental Consulting",Man,"College degree",56000.00
Veterinary,Man,"College degree",56000.00
Biology,Woman,"College degree",56000.00
Music,Woman,"College degree",56000.00
"Social Work","Prefer not to answer","Master's degree",56000.00
"Writing and journalism ",Woman,"College degree",56000.00
"Public Health Research",Non-binary,"College degree",56000.00
"Public Library",Man,"Master's degree",56000.00
Zoo,Woman,"Master's degree",56000.00
"Protective coatings",Man,"College degree",56000.00
"Supply Chain",Woman,"Master's degree",56000.00
"Textbook Copyeditor",Man,"College degree",56160.00
Retail,Woman,"College degree",56183.72
Nonprofits,Non-binary,"Master's degree",56207.00
"Hospitality & Events",Woman,"Professional degree (MD, JD, etc)",56250.00
"Transport or Logistics",Man,"High School",56306.11
"Education (Higher Education)","Prefer not to answer","Master's degree",56376.50
"Cultural Heritage",Woman,"College degree",56388.00
"Data Breach",Man,"College degree",56410.00
"Accounting, Banking & Finance",Woman,"High School",56452.13
"Digital Marketing",Woman,"College degree",56520.00
"Real Estate",Woman,"College degree",56579.50
"Staffing agency",Non-binary,"Master's degree",56763.00
Nonprofits,Other,"College degree",56770.78
"Staffing agency",Woman,"College degree",56835.33
Recruitment,Woman,"High School",56960.00
"Natural resources",Woman,"Master's degree",56997.00
Security,Woman,"College degree",57000.00
Brewing,Man,"College degree",57000.00
Toxicology,Woman,"College degree",57000.00
Construction,Man,"College degree",57106.67
"Business or Consulting",Woman,"High School",57140.00
Archives,Woman,"Master's degree",57154.20
"Data Analytics",Woman,"College degree",57211.00
"Food Manufacturing",Woman,"College degree",57227.14
"Law Enforcement & Security",Man,"College degree",57401.67
Insurance,Woman,"High School",57436.12
"Global Mobility",Woman,"College degree",57500.00
"Education (Higher Education)",Non-binary,PhD,57587.56
"Leisure, Sport & Tourism",Woman,"College degree",57602.03
Retail,Man,"College degree",57963.83
"Education (Higher Education)",Woman,"College degree",57984.97
"Leisure, Sport & Tourism",Man,"Master's degree",58000.00
